Param	% Change in param	Fdiff	Pdiff	Adiff	Udiff
p0	-10.0	6.959284598641313E-4	0.0012570754032203597	-0.0019530038631393465	0.0
p0	-9.0	6.263356169339263E-4	0.0011313678598449915	-0.0017577034768252453	0.0
p0	-8.0	5.567427739999187E-4	0.0010056603164669414	-0.0015624030905113662	0.0
p0	-7.0	4.8714993106754867E-4	8.799527730929992E-4	-0.001367102704197487	0.0
p0	-6.0	4.175570881327362E-4	7.542452297170758E-4	-0.0011718023178834969	0.0
p0	-5.0	3.4796424520075475E-4	6.28537686341888E-4	-9.765019315696177E-4	0.0
p0	-4.0	2.783714022706607E-4	5.028301429655831E-4	-7.812015452556276E-4	0.0
p0	-3.0	2.0877855933432166E-4	3.771225995891428E-4	-5.859011589417484E-4	0.0
p0	-2.0	1.3918571640528232E-4	2.5141505621334437E-4	-3.906007726277583E-4	0.0
p0	-1.0	6.959287347024778E-5	1.2570751283659184E-4	-1.9530038631376812E-4	0.0
p0	0.0	0.0	0.0	0.0	0.0
p0	1.0	-8.007315838903795E-5	-1.1522722792516038E-4	1.9530038631387914E-4	0.0
p0	2.0	-1.601463167775763E-4	-2.3045445584952626E-4	3.906007726279803E-4	0.0
p0	3.0	-2.402194751661979E-4	-3.4568168377522787E-4	5.859011589417484E-4	0.0
p0	4.0	-3.2029263355537463E-4	-4.609089117003119E-4	7.812015452559606E-4	0.0
p0	5.0	-4.0036579194360766E-4	-5.761361396258123E-4	9.765019315698398E-4	0.0
p0	6.0	-4.804389503330342E-4	-6.913633675524021E-4	0.00117180231788383	0.0
p0	7.0	-5.605121087232379E-4	-8.065905954780447E-4	0.001367102704197709	0.0
p0	8.0	-6.405852671098333E-4	-9.218178234006343E-4	0.0015624030905114772	0.0
p0	9.0	-7.206584254994264E-4	-0.0010370450513276716	0.0017577034768254673	0.0
p0	10.0	-8.007315838871598E-4	-0.0011522722792529812	0.0019530038631393465	0.0
Kp	-10.0	0.03211580448803983	0.03953718886891257	-0.06606508068003436	-0.005587912676919368
Kp	-9.0	0.028904224039236454	0.03558346998202046	-0.0594585726120308	-0.005029121409227302
Kp	-8.0	0.025692643590432968	0.03162975109512918	-0.052852064544027466	-0.00447033014153541
Kp	-7.0	0.022481063141627927	0.027676032208238898	-0.04624555647602402	-0.003911538873843531
Kp	-6.0	0.019269482692821832	0.0237223133213476	-0.03963904840802057	-0.003352747606151729
Kp	-5.0	0.016057902244019845	0.019768594434455115	-0.033032540340017125	-0.0027939563384596286
Kp	-4.0	0.012846321795212029	0.015814875547565856	-0.026426032272013678	-0.0022351650707677292
Kp	-3.0	0.00963474134640993	0.01186115666067281	-0.01981952420401023	-0.0016763738030757883
Kp	-2.0	0.006423160897606778	0.007907437773783273	-0.013213016136006783	-0.0011175825353837918
Kp	-1.0	0.0032115804488030697	0.0039537188868915	-0.006606508068003447	-5.587912676919965E-4
Kp	0.0	0.0	0.0	0.0	0.0
Kp	1.0	-0.0032115804488060395	-0.0039537188868922525	0.006606508068003558	5.58791267691941E-4
Kp	2.0	-0.006423160897608637	-0.007907437773781575	0.013213016136006894	0.0011175825353837432
Kp	3.0	-0.009634741346415343	-0.011861156660673399	0.019819524204010563	0.001676373803075698
Kp	4.0	-0.012846321795217108	-0.01581487554756604	0.02642603227201379	0.002235165070767743
Kp	5.0	-0.016057902244022038	-0.01976859443445611	0.033032540340017236	0.002793956338459698
Kp	6.0	-0.019269482692828577	-0.023722313321346992	0.039639048408020794	0.0033527476061515973
Kp	7.0	-0.02248106314163087	-0.02767603220823834	0.04624555647602413	0.003911538873843504
Kp	8.0	-0.025692643590434827	-0.031629751095129915	0.05285206454402758	0.004470330141535438
Kp	9.0	-0.028904224039238813	-0.03558346998202089	0.059458572612031135	0.0050291214092272815
Kp	10.0	-0.03211580448804224	-0.03953718886891189	0.0660650806800347	0.005587912676919347
y0	-10.0	-0.001186496539428955	-0.001707397459176297	0.002893893998603514	0.0
y0	-9.0	-0.0010673927531032745	-0.0015360042056829955	0.002603396958784532	0.0
y0	-8.0	-9.483902282857448E-4	-0.001364756669969859	0.00231314689825457	0.0
y0	-7.0	-8.294888358929553E-4	-0.0011936546662835203	0.002023143502176583	0.0
y0	-6.0	-7.106884470625963E-4	-0.0010226980091860016	0.0017333864562482093	0.0
y0	-5.0	-5.919889331479355E-4	-8.518865135529116E-4	0.0014438754467006598	0.0
y0	-4.0	-4.733901657240358E-4	-6.812199945759531E-4	0.001154610160298386	0.0
y0	-3.0	-3.5489201657934455E-4	-5.106982677592041E-4	8.65590284336748E-4	0.0
y0	-2.0	-2.36494357724798E-4	-3.403211489191524E-4	5.768155066416814E-4	0.0
y0	-1.0	-1.1819706138330166E-4	-1.700884541848656E-4	2.88285515568365E-4	0.0
y0	0.0	0.0	0.0	0.0	0.0
y0	1.0	1.0772043435067213E-4	1.803209162979623E-4	-2.880413506527457E-4	0.0
y0	2.0	2.1554431943404673E-4	3.6029452700767767E-4	-5.758388464541797E-4	0.0
y0	3.0	3.2346588663398346E-4	5.39926910290929E-4	-8.633927969429189E-4	0.0
y0	4.0	4.3147956450495517E-4	7.192239466104824E-4	-0.0011507035111346653	0.0
y0	5.0	5.395799984460048E-4	8.98191299051148E-4	-0.0014377712975219836	0.0
y0	6.0	6.477620404911066E-4	0.0010768344235543431	-0.001724596464076411	0.0
y0	7.0	7.560207396267171E-4	0.0012551585785887838	-0.002011179318248568	0.0
y0	8.0	8.643513326528351E-4	0.001433168834276105	-0.0022975201669709344	0.0
y0	9.0	9.727492355940115E-4	0.00161087008101966	-0.0025836193166562937	0.0
y0	10.0	0.001081210035493746	0.001788267037656853	-0.0028694770732016206	0.0
alpha	-10.0	0.023590485453125448	-0.02359048545312604	0.0	0.0
alpha	-9.0	0.021231436907812123	-0.021231436907812127	0.0	0.0
alpha	-8.0	0.018872388362498133	-0.018872388362500235	0.0	0.0
alpha	-7.0	0.01651333981718714	-0.016513339817188007	1.1102230246251565E-16	0.0
alpha	-6.0	0.014154291271874703	-0.01415429127187614	1.1102230246251565E-16	0.0
alpha	-5.0	0.01179524272656099	-0.011795242726564069	1.1102230246251565E-16	0.0
alpha	-4.0	0.00943619418124983	-0.009436194181250702	0.0	0.0
alpha	-3.0	0.007077145635935866	-0.007077145635938097	0.0	0.0
alpha	-2.0	0.004718097090625234	-0.0047180970906251125	0.0	0.0
alpha	-1.0	0.002359048545314074	-0.0023590485453115553	0.0	0.0
alpha	0.0	0.0	0.0	0.0	0.0
alpha	1.0	-0.0023590485453144072	0.0023590485453118364	1.1102230246251565E-16	0.0
alpha	2.0	-0.00471809709062565	0.004718097090624932	1.1102230246251565E-16	0.0
alpha	3.0	-0.007077145635939142	0.0070771456359354536	0.0	0.0
alpha	4.0	-0.009436194181251523	0.00943619418124918	0.0	0.0
alpha	5.0	-0.01179524272656271	0.011795242726561132	0.0	0.0
